IDProtocollo,Progressivo,IDVeicolo,TipoVeicolo,StatoVeicolo,Marca,Modello
2639429,1,1022333,Autovettura privata,In marcia / fermata / arresto,Fiat,Punto
2639434,1,1022335,Autovettura privata,In marcia / fermata / arresto,Fiat,600
2639440,1,1023169,Autovettura privata,In marcia / fermata / arresto,Mini,Cooper
2639706,1,1022364,Autovettura privata,In marcia / fermata / arresto,Peugeot,206
2639735,1,1022373,Autovettura privata,In marcia / fermata / arresto,Lancia,Thesis
2639735,2,1022374,Autovettura privata,In marcia / fermata / arresto,Volkswagen,Golf
2639848,1,1022396,Autovettura privata,In marcia / fermata / arresto,Toyota,Yaris
2639857,1,1022398,Autovettura privata,In marcia / fermata / arresto,Volkswagen,Polo
2639863,1,1022400,Autovettura privata,Sosta,Smart ,-
2639863,2,1022402,Autovettura privata,In marcia / fermata / arresto,Smart ,-
2639867,1,1022401,Motociclo a solo,In marcia / fermata / arresto,Peugeot,Tweet
2639891,1,1022405,Autovettura privata,In marcia / fermata / arresto,Volkswagen,Polo
2639891,2,1022410,Autocarro inferiore 35 q.,In marcia / fermata / arresto,Ford,(ignoto)
2639894,1,1022433,Autovettura privata,In marcia / fermata / arresto,Volkswagen,Passat
2639894,2,1022435,Autovettura privata,In marcia / fermata / arresto,Volkswagen,Golf
2639896,1,1022404,Autovettura privata,In marcia / fermata / arresto,Hyundai,Matrix
2639896,2,1022406,Autovettura privata,In marcia / fermata / arresto,Mercedes,Smart Fortwo Coup�
2639901,1,1022436,Autovettura privata,In marcia / fermata / arresto,Skoda,Fabia
2639901,2,1022440,Autovettura privata,In marcia / fermata / arresto,Opel,Astra
2639902,1,1022441,Autovettura privata,Sosta,Citroen,C 2
2639902,2,1022442,Autovettura privata,In marcia / fermata / arresto,Ford,Fiesta
2639906,1,1022408,Autovettura privata,In marcia / fermata / arresto,Opel,Mokka
2639906,2,1022409,Autovettura privata,Sosta,Mercedes,Smart Micro Compact Car
2639907,1,1022443,Autovettura privata,In marcia / fermata / arresto,Ford,Focus
2639910,1,1022444,Autovettura privata,In marcia / fermata / arresto,Citroen,C 3
2639910,2,1022447,Autovettura privata,In marcia / fermata / arresto,Volkswagen,Golf
2639911,1,1022448,Autovettura privata,In marcia / fermata / arresto,Fiat,Uno
2639914,1,1022449,Autovettura privata,In marcia / fermata / arresto,Ford,C Max
2639916,1,1022452,Autovettura privata,In marcia / fermata / arresto,Alfa Romeo,Giulietta
2640149,1,1022469,Motociclo a solo,In marcia / fermata / arresto,Honda,SH 300
2640181,1,1022472,Autovettura privata,In marcia / fermata / arresto,Ford,Focus
2640181,2,1022563,Ciclomotore,In marcia / fermata / arresto,Piaggio,Zip
2640254,1,1022487,Autovettura privata,In marcia / fermata / arresto,Volkswagen,Golf
2640254,2,1022490,Autovettura privata,In marcia / fermata / arresto,Citroen,C 1
2640254,3,1022492,Autovettura privata,Sosta,Mercedes,A 180
2640271,1,1022502,Autovettura privata,In marcia / fermata / arresto,Opel,Corsa
2640273,1,1022500,Autovettura privata,In marcia / fermata / arresto,Ford,Focus
2640273,2,1022501,Autovettura privata,In marcia / fermata / arresto,Fiat,500
2640279,1,1022584,Autovettura privata,In marcia / fermata / arresto,Ford,KA
2640279,2,1022588,Autovettura privata,Sosta,Renault,Modus
2640282,1,1022503,Autovettura privata,In marcia / fermata / arresto,Opel,Astra
2640288,1,1022508,Autovettura privata,In marcia / fermata / arresto,Volkswagen,Polo
2640288,2,1022510,Autovettura privata,In marcia / fermata / arresto,Chevrolet,Matiz
2640293,1,1022511,Autovettura privata,In marcia / fermata / arresto,Citroen,JUMPER
2640293,2,1022514,Autovettura privata,In marcia / fermata / arresto,Toyota,Yaris
2640293,3,1022518,Autovettura privata,Sosta,Smart ,-
2640293,4,1022522,Autovettura privata,Sosta,Fiat,Panda
2640299,1,1022512,Autovettura pubblica,In marcia / fermata / arresto,Fiat,Multipla
2640306,1,1022515,Autovettura privata,In marcia / fermata / arresto,Opel,Corsa
2640306,2,1022519,Autovettura privata,In marcia / fermata / arresto,Volkswagen,Polo
2640318,1,1022524,Ciclomotore,In marcia / fermata / arresto,SYM,(non accertato)
2640320,1,1022526,Autovettura privata,In marcia / fermata / arresto,Opel,Corsa
2640320,2,1022531,Motociclo a solo,In marcia / fermata / arresto,Honda,SH 150
2640324,1,1022529,Autocarro inferiore 35 q.,In marcia / fermata / arresto,Renault,130
2640324,2,1022532,Autovettura privata,In marcia / fermata / arresto,BMW,X5
2640336,1,1022533,Autovettura privata,In marcia / fermata / arresto,Renault,Megane
2640336,2,1022537,Autovettura privata,In marcia / fermata / arresto,Nissan,Micra
2640350,1,1022540,Autovettura privata,In marcia / fermata / arresto,Renault,Clio
2640350,2,1022547,Autovettura privata,In marcia / fermata / arresto,Volkswagen,Golf
2640358,1,1022541,Autovettura privata,In marcia / fermata / arresto,Seat,(non accertato)
2640358,2,1022544,Motociclo a solo,In marcia / fermata / arresto,Honda,(non accertato)
2640366,1,1022546,Autovettura privata,In marcia / fermata / arresto,Seat,Ibiza
2640366,2,1022549,Autovettura privata,In marcia / fermata / arresto,Opel,Corsa
2640366,3,1022550,Autovettura privata,In marcia / fermata / arresto,Fiat,Seicento
2640366,4,1022552,Autobus di linea,In marcia / fermata / arresto,Man,(non accertato)
2640366,5,1022553,Autovettura privata,Sosta,Nissan,Almera Tino
2640385,1,1022556,Autovettura privata,Allontanatosi,(ignoto),(non accertato)
2640391,1,1022558,Autovettura privata,Sosta,Kia,Rio
2640391,2,1022560,Autovettura privata,Sosta,Toyota,Yaris
2640391,3,1022561,Autovettura privata,In marcia / fermata / arresto,Ford,Fiesta
2640394,1,1022559,Autovettura privata,In marcia / fermata / arresto,Ford,S-MAX
2640394,2,1022562,Autovettura privata,In marcia / fermata / arresto,Smart ,Fortwo
2640405,1,1022568,Autovettura privata,In marcia / fermata / arresto,Peugeot,(ignoto)
2640405,2,1022571,Motociclo con passeggero,In marcia / fermata / arresto,Yamaha,125
2640407,1,1022565,Autovettura privata,In marcia / fermata / arresto,Volkswagen,Polo
2640407,2,1022566,Autovettura privata,In marcia / fermata / arresto,Kia,Picanto
2640418,1,1022569,Autovettura privata,In marcia / fermata / arresto,Ford,Focus
2640418,2,1022573,Autovettura privata,Sosta,Fiat,Dobl�
2640483,1,1022590,Autovettura privata,In marcia / fermata / arresto,Chrysler,PT Cruiser
2640483,2,1022591,Autovettura privata,In marcia / fermata / arresto,Renault,Twingo
2640483,3,1022592,Autovettura privata,Sosta,Peugeot,206
2640726,1,1022658,Motociclo a solo,In marcia / fermata / arresto,Honda,SH
2640731,1,1022661,Motociclo a solo,In marcia / fermata / arresto,Honda,150
2640734,1,1022665,Motociclo a solo,In marcia / fermata / arresto,Honda,(non accertato)
2640735,1,1022667,Autovettura privata,In marcia / fermata / arresto,Daewoo,Matiz
2640735,2,1022669,Autovettura privata,In marcia / fermata / arresto,Renault,Twingo
2640736,1,1022670,Autovettura privata,Sosta,Mercedes,(non accertato)
2640736,2,1022673,Autovettura privata,In marcia / fermata / arresto,Audi,A 3
2640737,1,1022672,Motociclo a solo,In marcia / fermata / arresto,Honda,SH 125
2640738,1,1022671,Autovettura privata,In marcia / fermata / arresto,Mercedes,Classe A
2640740,1,1022678,Autovettura privata,In marcia / fermata / arresto,Renault,Megane
2640741,1,1022674,Autovettura privata,In marcia / fermata / arresto,Fiat,Panda
2640741,2,1022676,Autovettura privata,In marcia / fermata / arresto,Citroen,C 1
2640743,1,1022675,Motociclo con passeggero,In marcia / fermata / arresto,Honda,SH 150
2640744,1,1022677,Autovettura privata,In marcia / fermata / arresto,Renault,Twingo
2640744,2,1022679,Autovettura privata,In marcia / fermata / arresto,Citroen,Xantia
2640746,1,1022680,Autovettura privata,In marcia / fermata / arresto,BMW,--
2640746,2,1032957,Autovettura privata,Sosta,Audi,A3
2640749,1,1022681,Autovettura privata,In marcia / fermata / arresto,Opel,Astra
2640749,2,1022683,Autovettura privata,Sosta,Ford,Fiesta
2640750,1,1022682,Autovettura privata,In marcia / fermata / arresto,Toyota,Yaris
2640752,1,1022685,Autovettura privata,In marcia / fermata / arresto,Mercedes,Smart For Two
2640754,1,1022686,Autovettura privata,In marcia / fermata / arresto,Peugeot,206
2640754,2,1022688,Autovettura privata,In marcia / fermata / arresto,Lancia,Musa
2640756,1,1022689,Autocarro inferiore 35 q.,In marcia / fermata / arresto,Daimler,(non accertato)
2640763,1,1022692,Autovettura pubblica,In marcia / fermata / arresto,Mercedes,B 180 CDI
2640763,2,1022693,Autocarro inferiore 35 q.,In marcia / fermata / arresto,Renault,Master
2640775,1,1022694,Autovettura privata,In marcia / fermata / arresto,Toyota,Yaris
2640777,1,1022695,Autovettura privata,In marcia / fermata / arresto,Ford,Fusion
2640777,2,1022699,Autovettura privata,In marcia / fermata / arresto,smart for two,(ignoto)
2640782,1,1022698,Autovettura privata,In marcia / fermata / arresto,Toyota,prius
2640796,1,1022702,Autovettura pubblica,In marcia / fermata / arresto,Opel,Vivaro
2640796,2,1022703,Velocipede,In marcia / fermata / arresto,(non accertato),(non accertato)
2640806,1,1022705,Autovettura pubblica,In marcia / fermata / arresto,Mercedes,VITO
2640814,1,1022706,Autovettura privata,In marcia / fermata / arresto,Renault,19
2640814,2,1022707,Autobus di linea,In marcia / fermata / arresto,Evobus,Setra
2640871,1,1022716,Autovettura privata,In marcia / fermata / arresto,Fiat,Punto
2640895,1,1022718,Autovettura privata,In marcia / fermata / arresto,Nissan,Micra
2640900,1,1022719,Autovettura privata,In marcia / fermata / arresto,Fiat,500
2640906,1,1022720,Autovettura privata,In marcia / fermata / arresto,Ford,Escort
2640918,1,1022724,Autovettura privata,In marcia / fermata / arresto,Toyota,Yaris
2640920,1,1022725,Autovettura privata,In marcia / fermata / arresto,Citroen,C3
2641023,1,1022741,Autovettura privata,In marcia / fermata / arresto,Mercedes,GLK 320 CDI
2641023,2,1022742,Autovettura privata,Allontanatosi,Toyota,Rav 4
2641135,1,1022757,Autovettura privata,In marcia / fermata / arresto,Fiat,Punto
2641243,1,1022791,Autovettura privata,In marcia / fermata / arresto,Ford,Focus
2641243,2,1022792,Autovettura privata,In marcia / fermata / arresto,Opel,AGILA
2641397,1,1022824,Autovettura privata,In marcia / fermata / arresto,Volkswagen,Polo
2641399,1,1022825,Autovettura privata,In marcia / fermata / arresto,BMW,120
2641399,2,1022827,Autovettura privata,In marcia / fermata / arresto,Honda,Civic
2641419,1,1022828,Autovettura privata,In marcia / fermata / arresto,Ford,Fiesta
2641419,2,1022830,Autovettura privata,In marcia / fermata / arresto,Mitsubishi,Colt
2641419,3,1022834,Autovettura privata,In marcia / fermata / arresto,Chevrolet,Matiz
2641421,1,1022826,Autovettura privata,In marcia / fermata / arresto,Fiat,Panda
2641425,1,1022872,Autovettura privata,In marcia / fermata / arresto,Citroen,C 3
2641425,2,1022889,Autovettura privata,In marcia / fermata / arresto,Fiat,Punto
2641425,3,1022925,Autocarro inferiore 35 q.,Sosta,Renault,Trucks
2641425,4,1022983,Autovettura privata,Sosta,Peugeot,206
2641433,1,1022829,Autovettura privata,In marcia / fermata / arresto,Peugeot,208
2641440,1,1023084,Autovettura privata,In marcia / fermata / arresto,Ford,Focus
2641440,2,1023085,Autovettura privata,In marcia / fermata / arresto,Ford,Focus
2641442,1,1022833,Autovettura privata,In marcia / fermata / arresto,Renault,Clio
2641443,1,1024227,Autovettura privata,Sosta,Peugeot,206
2641443,2,1024231,Autovettura privata,Sosta,Citroen,Xsara Picasso
2641443,3,1024234,Autovettura privata,Sosta,Ford,C - MAX
2641443,4,1024236,Autovettura privata,In marcia / fermata / arresto,(ignoto),(non accertato)
2641445,1,1027925,Autovettura privata,In marcia / fermata / arresto,Mercedes,A 170
2641445,2,1022831,Autovettura privata,Sosta,Volkswagen,New Beetle
2641445,3,1022839,Quadriciclo leggero,Sosta,Chatenet,CH22
2641446,1,1023086,Autovettura privata,In marcia / fermata / arresto,Fiat,Punto
2641448,1,1023092,Autovettura privata,In marcia / fermata / arresto,Kia,Sorento
2641449,1,1022908,Autovettura privata,In marcia / fermata / arresto,Fiat,Bravo
2641449,2,1022949,Autovettura privata,In marcia / fermata / arresto,BMW,320 D
2641449,3,1022953,Autovettura privata,Sosta,Mercedes,Smart Forfour
2641451,1,1022835,Autovettura privata,In marcia / fermata / arresto,Citroen,C 3
2641452,1,1022838,Autovettura privata,In marcia / fermata / arresto,Audi,A 4
2641452,2,1022855,Motociclo a solo,In marcia / fermata / arresto,Honda,Hornet
2641453,1,1023096,Autovettura privata,In marcia / fermata / arresto,Opel,Vectra SW
2641453,2,1023099,Autovettura privata,In marcia / fermata / arresto,Citroen,C 3
2641453,3,1023101,Autovettura privata,In marcia / fermata / arresto,Fiat,Punto
2641457,1,1023102,Autovettura privata,In marcia / fermata / arresto,Audi,A 3
2641457,2,1023103,Motociclo a solo,In marcia / fermata / arresto,Honda,(ignoto)
2641459,1,1022841,Vettura tranviaria,In marcia / fermata / arresto,Tram,(ignoto)
2641460,1,1023108,Autovettura privata,In marcia / fermata / arresto,BMW,--
2641471,1,1022843,Autovettura privata,In marcia / fermata / arresto,Citroen,C 1
2641471,2,1022845,Autovettura privata,In marcia / fermata / arresto,Nissan,Almera
2641473,1,1022844,Autovettura privata,In marcia / fermata / arresto,Fiat,Panda
2641474,1,1023110,Autovettura privata,In marcia / fermata / arresto,Mercedes,Classe B 200
2641475,1,1022846,Autobus di linea,In marcia / fermata / arresto,Irisbus,491E
2641475,2,1022848,Autovettura privata,In marcia / fermata / arresto,Renault,Scenic
2641476,1,1023111,Autovettura privata,In marcia / fermata / arresto,Fiat,Punto
2641476,2,1023112,Autovettura privata,In marcia / fermata / arresto,Opel,AGILA
2641479,1,1022847,Autovettura privata,In marcia / fermata / arresto,Skoda,Octavia
2641479,2,1022849,Autovettura privata,In marcia / fermata / arresto,Peugeot,108
2641480,1,1024276,Autovettura privata,In marcia / fermata / arresto,Fiat,500
2641483,1,1024281,Autovettura privata,In marcia / fermata / arresto,Opel,Corsa
2641483,2,1025223,Autovettura privata,In marcia / fermata / arresto,Nissan,Micra
2641484,1,1022850,Autovettura privata,In marcia / fermata / arresto,Citroen,Saxo
2641486,1,1022852,Autovettura privata,In marcia / fermata / arresto,Daimler,Chrysler
2641487,1,1022853,Autovettura privata,In marcia / fermata / arresto,Citroen,C 3
2641495,1,1022854,Autovettura privata,In marcia / fermata / arresto,Fiat,500
2641497,1,1023326,Autovettura privata,In marcia / fermata / arresto,Fiat,Panda
2641497,2,1023341,Autovettura privata,Sosta,Fiat,Stilo
2641498,1,1022856,Autovettura privata,In marcia / fermata / arresto,Ford,Fiesta
2641498,2,1022863,Motociclo a solo,In marcia / fermata / arresto,Suzuki,Burgman 125
2641499,1,1022857,Autovettura privata,In marcia / fermata / arresto,Fiat,Panda
2641499,2,1022858,Autovettura privata,In marcia / fermata / arresto,Volkswagen,Passat
2641499,3,1022859,Autovettura privata,Sosta,Chevrolet,Matiz
2641504,1,1022860,Autovettura privata,In marcia / fermata / arresto,Toyota,Rav 4
2641512,1,1022870,Autovettura di polizia,In marcia / fermata / arresto,Citroen,Jumpy
2641512,2,1022892,Autovettura privata,In marcia / fermata / arresto,Renault,Clio
2641517,1,1022935,Autovettura privata,In marcia / fermata / arresto,Fiat,16
2641520,1,1022869,Autovettura privata,In marcia / fermata / arresto,Mazda,2
2641520,2,1022871,Autovettura privata,Sosta,Renault,Clio
2641520,3,1022873,Autovettura privata,Sosta,Toyota,Yaris
2641525,1,1022874,Autovettura privata,In marcia / fermata / arresto,Lancia,Y
2641530,1,1022878,Autovettura privata,In marcia / fermata / arresto,Renault,Megane
2641530,2,1022879,Autovettura privata,In marcia / fermata / arresto,Daimler Chrysler,Sprinter
2641531,1,1022880,Autovettura privata,In marcia / fermata / arresto,Renault,Clio
2641535,1,1022917,Autovettura privata,In marcia / fermata / arresto,Citroen,C 2
2641538,1,1022881,Autovettura privata,In marcia / fermata / arresto,Smart ,-
2641544,1,1022884,Autovettura privata,In marcia / fermata / arresto,Renault,Modus
2641545,1,1022885,Motociclo a solo,In marcia / fermata / arresto,Honda,SH
2641545,2,1031638,Autovettura privata,In marcia / fermata / arresto,Renault,Modus
2641545,3,1031641,Autovettura privata,In marcia / fermata / arresto,Toyota,prius
2641545,4,1031652,Autovettura privata,In marcia / fermata / arresto,Volvo,240
2641545,5,1031657,Autovettura privata,In marcia / fermata / arresto,Mercedes,Classe B
2641549,1,1022891,Autovettura privata,In marcia / fermata / arresto,Fiat,Panda
2641550,1,1022887,Autovettura privata,In marcia / fermata / arresto,Opel,Zafira
2641551,1,1022890,Autovettura privata,In marcia / fermata / arresto,Volkswagen,Polo
2641552,1,1022907,Autovettura privata,In marcia / fermata / arresto,Fiat-Lancia,YPSILON
2641555,1,1022888,Autovettura privata,In marcia / fermata / arresto,Opel,Meriva
2641555,2,1022893,Autovettura privata,In marcia / fermata / arresto,Citroen,C 3
2641555,3,1022896,Autovettura privata,Sosta,Hyundai,i 10
2641560,1,1025252,Autovettura privata,In marcia / fermata / arresto,Ford,Fiesta
2641567,1,1023332,Autovettura privata,In marcia / fermata / arresto,Nissan,Almera
2641567,2,1023333,Autocarro inferiore 35 q.,In marcia / fermata / arresto,great wall,Steed
2641569,1,1022894,Autovettura privata,In marcia / fermata / arresto,Alfa Lancia,Y
2641570,1,1022895,Autovettura privata,In marcia / fermata / arresto,BMW,320
2641570,2,1022897,Autovettura privata,In marcia / fermata / arresto,Mercedes,(non accertato)
2641571,1,1025274,Autovettura privata,In marcia / fermata / arresto,Renault,NEW TWINGO
2641574,1,1022899,Autovettura privata,In marcia / fermata / arresto,Citroen,C 1
2641575,1,1028932,Autovettura privata,In marcia / fermata / arresto,Volkswagen,Golf
2641575,2,1028937,Autovettura privata,Sosta,Mini,Cooper
2641575,3,1028940,Autovettura privata,Sosta,Range Rover,EVOQUE
2641575,4,1028941,Autovettura privata,Sosta,Audi,A3
2641575,5,1028947,Autovettura privata,Sosta,Fiat,600
2641575,6,1030193,Autovettura privata,Sosta,Peugeot,208
2641576,1,1022904,Autovettura privata,In marcia / fermata / arresto,Fiat,Panda
2641596,1,1022905,Autovettura privata,In marcia / fermata / arresto,Opel,Corsa
2641596,2,1022914,Autovettura privata,In marcia / fermata / arresto,Mercedes,200 Kompressor
2641599,1,1022910,Autovettura privata,In marcia / fermata / arresto,Daimler Chrysler,mercedes classe A
2641599,2,1022932,Autovettura privata,In marcia / fermata / arresto,Mercedes,Smart For Two
2641599,3,1023002,Autovettura privata,Sosta,Fiat,Bravo
2641606,1,1022909,Autovettura privata,In marcia / fermata / arresto,Fiat,500
2641620,1,1022916,Ciclomotore,In marcia / fermata / arresto,Yamaha,MBK Ovetto
2641620,2,1022921,Autovettura privata,In marcia / fermata / arresto,Peugeot,207
2641631,1,1022919,Autovettura privata,In marcia / fermata / arresto,Lancia,Ypsilon
2641631,2,1022922,Autovettura privata,In marcia / fermata / arresto,Daimler,Smart
2641634,1,1022923,Autovettura privata,In marcia / fermata / arresto,Nissan,Micra
2641636,1,1022924,Autovettura privata,In marcia / fermata / arresto,Alfa Romeo,156
2641636,2,1022927,Motociclo con passeggero,In marcia / fermata / arresto,Honda,SH 150
2641639,1,1022926,Autovettura privata,In marcia / fermata / arresto,Dacia.,Duster
2641639,2,1022931,Vettura tranviaria,In marcia / fermata / arresto,(ignoto),(non accertato)
2641643,1,1022933,Motociclo con passeggero,In marcia / fermata / arresto,Honda,SH 300
2641645,1,1022939,Autovettura privata,In marcia / fermata / arresto,Mercedes,Smart For Two
2641645,2,1022940,Autovettura privata,Sosta,Peugeot,207
2641645,3,1022946,Autovettura privata,In marcia / fermata / arresto,Fiat,Uno
2641649,1,1022942,Autovettura privata,In marcia / fermata / arresto,Volkswagen,Polo
2641649,2,1022952,Autovettura privata,In marcia / fermata / arresto,Mercedes,Smart For Two
2641649,3,1022957,Autovettura privata,In marcia / fermata / arresto,Lancia,Y
2641659,1,1022950,Autovettura privata,In marcia / fermata / arresto,Ford,KA
2641659,2,1023340,Autovettura privata,In marcia / fermata / arresto,Ford,Focus
2641659,3,1023352,Autovettura privata,Sosta,Fiat,500
2641659,4,1023353,Autovettura privata,Sosta,Opel,Corsa
2641665,1,1022956,Autovettura privata,In marcia / fermata / arresto,Audi,A1
2641674,1,1022959,Autovettura privata,In marcia / fermata / arresto,Toyota,Aygo
2641678,1,1022960,Autovettura privata,In marcia / fermata / arresto,Ford,Fiesta
2641678,2,1022962,Autovettura privata,In marcia / fermata / arresto,Peugeot,206
2641681,1,1023931,Autovettura privata,In marcia / fermata / arresto,Fiat,500
2641681,2,1023941,Autovettura privata,Sosta,Opel,Corsa
2641682,1,1022965,Autovettura privata,In marcia / fermata / arresto,Nissan,Micra
2641682,2,1022984,Autovettura privata,In marcia / fermata / arresto,Fiat,500 L
2641682,3,1022987,Autovettura privata,Sosta,Renault,Modus
2641684,1,1022968,Veicolo speciale,In marcia / fermata / arresto,Fiat,Ducato Turbo Daily
2641685,1,1022969,Autovettura privata,In marcia / fermata / arresto,Mercedes,Smart
2641685,2,1026079,Autovettura privata,In marcia / fermata / arresto,Fiat,Panda
2641686,1,1022970,Autovettura privata,In marcia / fermata / arresto,Alfa Romeo,GT
2641686,2,1022978,Autobus turistico,In marcia / fermata / arresto, Mercedes ,(non accertato)
2641687,1,1022972,Autovettura privata,In marcia / fermata / arresto,Fiat,500
2641692,1,1022974,Autovettura privata,In marcia / fermata / arresto,Lancia,Ypsilon
2641703,1,1022980,Autovettura privata,In marcia / fermata / arresto,Volkswagen,Polo
2641703,2,1022982,Autovettura privata,In marcia / fermata / arresto,Renault,Clio
2641743,1,1022990,Autovettura privata,In marcia / fermata / arresto,Lancia,Ypsilon
2641743,2,1022991,Autovettura privata,In marcia / fermata / arresto,Ford,Focus
2641744,1,1022994,Autovettura privata,In marcia / fermata / arresto,Smart ,-
2641744,2,1023000,Autovettura privata,Sosta,Renault,Megane
2641744,3,1023003,Autovettura privata,Sosta,Toyota,I Q
2641754,1,1022993,Autovettura privata,In marcia / fermata / arresto,Fiat,Seicento
2641754,2,1022995,Motociclo con passeggero,In marcia / fermata / arresto,Honda,PS 125
2641760,1,1022996,Autovettura privata,In marcia / fermata / arresto,Toyota,Yaris
2641762,1,1023247,Autovettura privata,In marcia / fermata / arresto,Ford,Focus
2641764,1,1023001,Autovettura privata,In marcia / fermata / arresto,Fiat,Stilo
2641764,2,1023033,Autovettura privata,Sosta,Nissan,(non accertato)
2641765,1,1023266,Autovettura privata,In marcia / fermata / arresto,Smart ,for two
2641765,2,1023272,Autovettura privata,In marcia / fermata / arresto,Smart ,-
2641769,1,1023004,Autovettura privata,In marcia / fermata / arresto,Fiat,Punto
2641778,1,1023008,Autovettura privata,In marcia / fermata / arresto,Fiat,Punto
2641778,2,1023015,Autovettura privata,In marcia / fermata / arresto,Nissan,Micra
2641786,1,1023011,Autovettura privata,In marcia / fermata / arresto,Fiat,Panda
2641793,1,1023013,Autovettura privata,In marcia / fermata / arresto,Lancia,Y
2641798,1,1023017,Autovettura privata,In marcia / fermata / arresto,Volkswagen,Golf
2641802,1,1023019,Autovettura privata,In marcia / fermata / arresto,Nissan,Micra
2641802,2,1023023,Autovettura privata,In marcia / fermata / arresto,Audi,A 3
2641802,3,1023024,Autocaravan,In marcia / fermata / arresto,Fiat,(non accertato)
2641807,1,1023923,Autovettura privata,In marcia / fermata / arresto,Fiat,500
2641808,1,1023939,Autovettura privata,In marcia / fermata / arresto,Mercedes,Smart Fortwo
2641848,1,1023028,Autovettura privata,In marcia / fermata / arresto,Chevrolet,Matiz
2641849,1,1023031,Autovettura privata,In marcia / fermata / arresto,Ford,Fiesta
2641849,2,1023037,Autovettura privata,In marcia / fermata / arresto,Opel,Astra
2641849,3,1026798,Autovettura privata,In marcia / fermata / arresto,Citroen,C 1
2641864,1,1023034,Autovettura privata,In marcia / fermata / arresto,Nissan,Pixo
2641864,2,1023038,Autovettura privata,In marcia / fermata / arresto,Ford,Focus
2641870,1,1023036,Autovettura privata,In marcia / fermata / arresto,Volkswagen,Polo
2641896,1,1023212,Autovettura privata,In marcia / fermata / arresto,Ford,Fiesta
2641896,2,1023227,Autovettura privata,In marcia / fermata / arresto,Ford,Fiesta
2641906,1,1023046,Autovettura privata,In marcia / fermata / arresto,Lancia,Y
2641906,2,1023047,Autovettura privata,In marcia / fermata / arresto,Ford,KA
2641934,1,1023048,Autovettura privata,In marcia / fermata / arresto,Alfa Romeo,145
2641939,1,1023049,Autovettura privata,In marcia / fermata / arresto,Volkswagen,Polo
2641939,2,1023062,Autovettura privata,In marcia / fermata / arresto,Ford,Focus
2642010,1,1023063,Autovettura privata,In marcia / fermata / arresto,Opel,Astra
2642010,2,1023064,Autovettura privata,In marcia / fermata / arresto,Renault,(non accertato)
2642012,1,1023065,Autovettura privata,In marcia / fermata / arresto,Fiat,Punto
2642139,1,1023087,Autovettura privata,In marcia / fermata / arresto,BMW,316
2642139,2,1023088,Autovettura privata,Sosta,Ford,S - MAX
2642139,3,1023091,Autovettura privata,Sosta,Citroen,C3 Picasso
2642163,1,1023097,Autovettura privata,In marcia / fermata / arresto,Nissan,X Trail
2642168,1,1023098,Autovettura privata,In marcia / fermata / arresto,Renault,Twingo
2642168,2,1023100,Autovettura privata,In marcia / fermata / arresto,Ford,Focus
2642176,1,1023105,Autovettura privata,In marcia / fermata / arresto,Citroen,C 3
2642176,2,1023106,Autovettura privata,In marcia / fermata / arresto,Ford,KA
2642232,1,1023118,Autovettura privata,In marcia / fermata / arresto,Ford,Focus
2642232,2,1023119,Autovettura privata,In marcia / fermata / arresto,Nissan,Micra
2642233,1,1023120,Autovettura privata,In marcia / fermata / arresto,Fiat,Panda
2642233,2,1023122,Autovettura privata,In marcia / fermata / arresto,Ford,Fiesta
2642241,1,1023121,Autovettura privata,In marcia / fermata / arresto,Opel,Meriva
2642241,2,1023126,Autocarro inferiore 35 q.,In marcia / fermata / arresto,Opel,Combo
2642244,1,1023123,Autovettura privata,In marcia / fermata / arresto,Fiat,Punto
2642445,1,1023151,Autovettura privata,In marcia / fermata / arresto,Renault,Megane
2642445,2,1023172,Autovettura privata,In marcia / fermata / arresto,Volkswagen,Polo
2642448,1,1023150,Autovettura privata,In marcia / fermata / arresto,Ford,Fiesta
2642448,2,1023152,Autovettura privata,In marcia / fermata / arresto,Honda,Jazz
2642456,1,1023153,Autovettura privata,In marcia / fermata / arresto,Fiat,Panda
2642460,1,1023154,Autovettura privata,In marcia / fermata / arresto,Ford,KA
2642460,2,1023156,Autovettura privata,In marcia / fermata / arresto,Opel,Astra
2642472,1,1030980,Autovettura privata,In marcia / fermata / arresto,Mazda,CX 7
2642472,2,1030984,Autobus di linea,In marcia / fermata / arresto,TEMSA,AVENUE LF
2642477,1,1027552,Autovettura privata,In marcia / fermata / arresto,Fiat,Panda
2642479,1,1023157,Ciclomotore,In marcia / fermata / arresto,Kimco,Agility
2642479,2,1023158,Autovettura privata,In marcia / fermata / arresto,Fiat,Brava
2642480,1,1028210,Autovettura privata,In marcia / fermata / arresto,Toyota,Yaris
2642481,1,1027962,Autovettura privata,In marcia / fermata / arresto,Mini,One
2642483,1,1026772,Autovettura privata,In marcia / fermata / arresto,Lancia,Ypsilon
2642483,2,1026779,Autovettura privata,In marcia / fermata / arresto,Renault,Clio
2642484,1,1028063,Autovettura privata,In marcia / fermata / arresto,Toyota,Aygo
2642485,1,1023160,Autovettura privata,In marcia / fermata / arresto,Nissan,Micra
2642485,2,1023161,Autovettura privata,Sosta,Opel,Meriva
2642488,1,1023162,Autovettura privata,In marcia / fermata / arresto,Renault,Twingo
2642493,1,1023163,Autovettura privata,In marcia / fermata / arresto,Fiat,Punto
